year,points_on_curve,total_forwardPoints
1971,16,246
1972,38,244
1973,8,243
1974,24,241
1975,51,236
1976,52,233
1977,43,229
1978,32,228
1979,5,226
1980,43,223
1981,46,222
1982,15,220
1983,14,218
1984,45,217
1985,43,215
1986,46,212
1987,18,208
1988,49,204
1989,32,202
1990,3,198
1991,38,196
1992,42,194
1993,2,191
1994,38,188
1995,31,183
1996,41,178
1997,37,176
1998,32,172
1999,39,168
2000,36,162
2001,5,159
2002,3,157
2003,3,155
2004,2,149
2005,34,145
2006,1,141
2007,10,137
2008,1,130
2009,22,124
2010,8,122
2011,15,114
2012,1,110
2013,12,101
2014,10,97
2015,9,91
2016,7,84
2017,8,77
2018,11,59
2019,6,51
2020,6,35
2021,4,29
2022,4,22
2023,2,14
2024,1,3
2025,1,2
2026,1,1
