year,max_transistors
1971,3078
1972,3500
1973,11000
1974,8000
1975,5000
1976,8500
1977,7000
1978,29000
1979,68000
1980,50000
1981,45000
1982,134000
1983,22000
1984,190000
1985,275000
1986,375000
1987,730000
1988,250000
1989,1180235
1990,6900000
1991,1350000
1992,1680000
1993,23037000
1994,2800000
1995,9300000
1996,9660000
1997,8800000
1998,15200000
1999,27400000
2000,42000000
2001,191000000
2002,220000000
2003,410000000
2004,592000000
2005,250000000
2006,1700000000
2007,789000000
2008,1900000000
2009,904000000
2010,2300000000
2011,2600000000
2012,5000000000
2013,5000000000
2014,5560000000
2015,10000000000
2016,8000000000
2017,19200000000
2018,10000000000
2019,39540000000
2020,16000000000
2021,57000000000
2022,114000000000
2023,146000000000
2024,28000000000
2025,5931
2026,227000000000
